LEVEL3_NAM,area_code_l3,LEVEL2_COD,LEVEL1_COD,total,n_assessed,pc_assessed,n_ass_threat,pc_ass_threat,n_pred_threat,pc_threat_pred,n_endemic,pc_endemic,n_endem_assessed,pc_endem_assessed,n_endem_ass_threat,pc_endem_ass_threat,n_endem_pred_threat,pc_endem_threat_pred,island,no.sp
Utah,UTA,76,7,22,7,0.3181818181818182,1,0.14285714285714285,1,0.045454545454545456,NA,0,0,NA,0,NA,1,NA,FALSE,FALSE
Uzbekistan,UZB,32,3,13,3,0.23076923076923078,0,0,1,0.07692307692307693,NA,0,0,NA,0,NA,1,NA,FALSE,FALSE
Vanuatu,VAN,60,6,196,26,0.1326530612244898,0,0,17,0.08673469387755102,16,0.08163265306122448,2,0.125,0,0,17,0.8125,FALSE,FALSE
Venezuela,VEN,82,8,1721,62,0.03602556653108658,9,0.14516129032258066,351,0.20395119116792562,291,0.16908773968622895,2,0.006872852233676976,0,0,351,0.8109965635738832,FALSE,FALSE
Vermont,VER,75,7,53,15,0.2830188679245283,2,0.13333333333333333,2,0.03773584905660377,NA,0,0,NA,0,NA,2,NA,FALSE,FALSE
Victoria,VIC,50,5,346,10,0.028901734104046242,3,0.3,140,0.4046242774566474,87,0.2514450867052023,1,0.011494252873563218,1,1,140,0.9655172413793104,FALSE,FALSE
Vietnam,VIE,41,4,1310,61,0.046564885496183206,32,0.5245901639344263,474,0.3618320610687023,292,0.22290076335877862,7,0.023972602739726026,4,0.5714285714285714,474,0.8116438356164384,FALSE,FALSE
Venezuelan Antilles,VNA,81,8,35,1,0.02857142857142857,0,0,1,0.02857142857142857,1,0.02857142857142857,0,0,0,NA,1,1,TRUE,FALSE
Virginia,VRG,78,7,60,14,0.23333333333333334,4,0.2857142857142857,5,0.08333333333333333,NA,0,0,NA,0,NA,5,NA,FALSE,FALSE
Wake I.,WAK,62,6,0,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,TRUE,TRUE
Wallis-Futuna Is.,WAL,60,6,37,2,0.05405405405405406,0,0,1,0.02702702702702703,NA,0,0,NA,0,NA,1,NA,TRUE,FALSE
Washington,WAS,73,7,33,9,0.2727272727272727,2,0.2222222222222222,2,0.06060606060606061,NA,0,0,NA,0,NA,2,NA,FALSE,FALSE
Western Australia,WAU,50,5,419,19,0.045346062052505964,8,0.42105263157894735,229,0.5465393794749404,370,0.883054892601432,16,0.043243243243243246,8,0.5,229,0.6189189189189189,FALSE,FALSE
District of Columbia,WDC,78,7,20,5,0.25,0,0,0,0,NA,0,0,NA,0,NA,0,NA,TRUE,FALSE
West Himalaya,WHM,40,4,268,16,0.05970149253731343,9,0.5625,26,0.09701492537313433,9,0.033582089552238806,0,0,0,NA,26,1,FALSE,FALSE
Windward Is.,WIN,81,8,134,9,0.06716417910447761,3,0.3333333333333333,22,0.16417910447761194,8,0.05970149253731343,0,0,0,NA,22,1,TRUE,FALSE
Wisconsin,WIS,74,7,50,14,0.28,1,0.07142857142857142,1,0.02,NA,0,0,NA,0,NA,1,NA,FALSE,FALSE
Western Sahara,WSA,20,2,0,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,FALSE,TRUE
West Siberia,WSB,30,3,32,7,0.21875,0,0,0,0,NA,0,0,NA,0,NA,0,NA,FALSE,FALSE
