genus,accepted_species
Cypripedium,62
Paphiopedilum,144
Phragmipedium,21
Cymbidium,109
Orchis,61
Corybas,157
Platanthera,174
Vanilla,127
Caladenia,327
Disa,186
Bulbophyllum,2198
Dendrobium,1616
