lon,lat,predicted_risk,risk_uncertainty_sd,confidence_high_risk,orchid_hotspot
-179.5000060874069,89.49999848217658,NA,NA,NA,NA
-178.50000605349376,89.49999848217658,NA,NA,NA,NA
-177.50000601958064,89.49999848217658,NA,NA,NA,NA
-176.50000598566749,89.49999848217658,NA,NA,NA,NA
-175.50000595175436,89.49999848217658,NA,NA,NA,NA
-174.50000591784124,89.49999848217658,NA,NA,NA,NA
-173.5000058839281,89.49999848217658,NA,NA,NA,NA
-172.500005850015,89.49999848217658,NA,NA,NA,NA
-171.50000581610183,89.49999848217658,NA,NA,NA,NA
-170.5000057821887,89.49999848217658,NA,NA,NA,NA
-169.50000574827558,89.49999848217658,NA,NA,NA,NA
-168.50000571436246,89.49999848217658,NA,NA,NA,NA
-167.50000568044933,89.49999848217658,NA,NA,NA,NA
-166.50000564653618,89.49999848217658,NA,NA,NA,NA
-165.50000561262306,89.49999848217658,NA,NA,NA,NA
-164.50000557870993,89.49999848217658,NA,NA,NA,NA
-163.5000055447968,89.49999848217658,NA,NA,NA,NA
-162.50000551088368,89.49999848217658,NA,NA,NA,NA
-161.50000547697053,89.49999848217658,NA,NA,NA,NA
-160.5000054430574,89.49999848217658,NA,NA,NA,NA
-159.50000540914428,89.49999848217658,NA,NA,NA,NA
-158.50000537523115,89.49999848217658,NA,NA,NA,NA
-157.50000534131803,89.49999848217658,NA,NA,NA,NA
-156.50000530740488,89.49999848217658,NA,NA,NA,NA
-155.50000527349175,89.49999848217658,NA,NA,NA,NA
-154.50000523957863,89.49999848217658,NA,NA,NA,NA
-153.5000052056655,89.49999848217658,NA,NA,NA,NA
-152.50000517175238,89.49999848217658,NA,NA,NA,NA
-151.50000513783922,89.49999848217658,NA,NA,NA,NA
-150.5000051039261,89.49999848217658,NA,NA,NA,NA
-149.50000507001297,89.49999848217658,NA,NA,NA,NA
-148.50000503609985,89.49999848217658,NA,NA,NA,NA
-147.50000500218673,89.49999848217658,NA,NA,NA,NA
-146.50000496827357,89.49999848217658,NA,NA,NA,NA
-145.50000493436045,89.49999848217658,NA,NA,NA,NA
-144.50000490044732,89.49999848217658,NA,NA,NA,NA
-143.5000048665342,89.49999848217658,NA,NA,NA,NA
-142.50000483262107,89.49999848217658,NA,NA,NA,NA
-141.50000479870795,89.49999848217658,NA,NA,NA,NA
-140.5000047647948,89.49999848217658,NA,NA,NA,NA
-139.50000473088167,89.49999848217658,NA,NA,NA,NA
-138.50000469696855,89.49999848217658,NA,NA,NA,NA
-137.50000466305542,89.49999848217658,NA,NA,NA,NA
-136.50000462914227,89.49999848217658,NA,NA,NA,NA
-135.50000459522914,89.49999848217658,NA,NA,NA,NA
-134.50000456131602,89.49999848217658,NA,NA,NA,NA
-133.5000045274029,89.49999848217658,NA,NA,NA,NA
-132.50000449348977,89.49999848217658,NA,NA,NA,NA
-131.50000445957664,89.49999848217658,NA,NA,NA,NA
-130.5000044256635,89.49999848217658,NA,NA,NA,NA
-129.50000439175037,89.49999848217658,NA,NA,NA,NA
-128.50000435783724,89.49999848217658,NA,NA,NA,NA
-127.50000432392412,89.49999848217658,NA,NA,NA,NA
-126.50000429001098,89.49999848217658,NA,NA,NA,NA
-125.50000425609784,89.49999848217658,NA,NA,NA,NA
-124.50000422218471,89.49999848217658,NA,NA,NA,NA
-123.50000418827159,89.49999848217658,NA,NA,NA,NA
-122.50000415435846,89.49999848217658,NA,NA,NA,NA
-121.50000412044533,89.49999848217658,NA,NA,NA,NA
-120.5000040865322,89.49999848217658,NA,NA,NA,NA
-119.50000405261906,89.49999848217658,NA,NA,NA,NA
-118.50000401870594,89.49999848217658,NA,NA,NA,NA
-117.50000398479281,89.49999848217658,NA,NA,NA,NA
-116.50000395087967,89.49999848217658,NA,NA,NA,NA
-115.50000391696655,89.49999848217658,NA,NA,NA,NA
-114.50000388305341,89.49999848217658,NA,NA,NA,NA
-113.50000384914028,89.49999848217658,NA,NA,NA,NA
-112.50000381522716,89.49999848217658,NA,NA,NA,NA
-111.50000378131402,89.49999848217658,NA,NA,NA,NA
-110.5000037474009,89.49999848217658,NA,NA,NA,NA
-109.50000371348776,89.49999848217658,NA,NA,NA,NA
-108.50000367957463,89.49999848217658,NA,NA,NA,NA
-107.50000364566151,89.49999848217658,NA,NA,NA,NA
-106.50000361174837,89.49999848217658,NA,NA,NA,NA
-105.50000357783524,89.49999848217658,NA,NA,NA,NA
-104.50000354392212,89.49999848217658,NA,NA,NA,NA
-103.50000351000898,89.49999848217658,NA,NA,NA,NA
-102.50000347609586,89.49999848217658,NA,NA,NA,NA
-101.50000344218272,89.49999848217658,NA,NA,NA,NA
-100.50000340826959,89.49999848217658,NA,NA,NA,NA
-99.50000337435647,89.49999848217658,NA,NA,NA,NA
-98.50000334044333,89.49999848217658,NA,NA,NA,NA
-97.5000033065302,89.49999848217658,NA,NA,NA,NA
